KM/Year,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,AutoType,MetColorType,Ratio,,
877.1333333,16868,15,13157,Petrol,97,1,0,1400,4,1085,Manual,Metcolor,,,
1351.333333,18950,15,20270,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
687.5,18950,16,11000,Petrol,110,1,0,1600,4,1105,Manual,Metcolor,,,
734.625,19750,16,11754,Petrol,110,0,1,1600,5,1180,Auto,NonMetcolor,,,
812.5,19500,16,13000,Petrol,110,1,0,1600,4,1105,Manual,Metcolor,,,
1256.5625,16450,16,20105,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor,,,
1289.3125,18500,16,20629,Petrol,110,1,0,1600,4,1090,Manual,Metcolor,,,
2154.5,19950,16,34472,Diesel,90,1,0,1995,3,1260,Manual,Metcolor,,,
2250,21750,16,36000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
588.2352941,17450,17,10000,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
588.2352941,20750,17,10000,Petrol,110,0,0,1598,5,1105,Manual,NonMetcolor,,,
705.8235294,19750,17,11999,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1785.352941,19950,17,30351,Diesel,90,1,0,1995,3,1260,Manual,Metcolor,,,
1984.705882,17950,17,33740,Petrol,97,1,0,1400,5,1135,Manual,Metcolor,,,
2118.352941,16950,17,36012,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
3371.352941,22250,17,57313,Diesel,110,1,0,2000,5,1275,Manual,Metcolor,,,
1327.888889,17450,18,23902,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
723.5789474,16950,19,13748,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
896.7368421,19950,19,17038,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
964.6315789,19450,19,18328,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
1010.526316,16250,19,19200,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1141.263158,23950,19,21684,Petrol,192,1,0,1800,5,1185,Manual,Metcolor,,,
1365.684211,15950,19,25948,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1440.578947,18450,19,27371,Petrol,97,0,0,1400,5,1135,Manual,NonMetcolor,,,
1464.263158,16500,19,27821,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor,,,
1549.210526,15950,19,29435,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1549.526316,16250,19,29441,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
2631.842105,21950,19,50005,Diesel,110,1,0,2000,3,1265,Manual,Metcolor,,,
2689.421053,19950,19,51099,Diesel,90,1,0,2000,5,1255,Manual,Metcolor,,,
2730.736842,15950,19,51884,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
359.35,17950,20,7187,Petrol,110,1,0,1600,3,1105,Manual,Metcolor,,,
865,17200,20,17300,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1000,20500,20,20000,Petrol,110,0,1,1600,5,1165,Auto,NonMetcolor,,,
1129.4,16450,20,22588,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1150,19900,20,23000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1158.75,18990,20,23175,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
1450,16500,20,29000,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor,,,
1489.85,15950,20,29797,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1592.5,18900,20,31850,Petrol,110,0,0,1600,3,1120,Manual,NonMetcolor,,,
1631.35,16250,20,32627,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1666.45,15950,20,33329,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1750,16500,20,35000,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1800,15950,20,36000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1875,22250,20,37500,Diesel,90,1,0,2000,3,1260,Manual,Metcolor,,,
1955.75,18950,20,39115,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
2405.5,16450,20,48110,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
3150,19250,20,63000,Diesel,90,1,0,2000,5,1255,Manual,Metcolor,,,
3348.3,17950,20,66966,Diesel,90,1,0,2000,3,1245,Manual,Metcolor,,,
1363.636364,22250,22,30000,Diesel,110,1,0,2000,5,1275,Manual,Metcolor,,,
1381.818182,14950,22,30400,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1599.954545,15750,22,35199,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1700,14950,22,37400,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1863.636364,15500,22,41000,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1982.272727,19950,22,43610,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor,,,
2134.590909,13950,22,46961,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor,,,
2229.954545,13950,22,49059,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor,,,
2847.090909,17950,22,62636,Diesel,90,1,0,2000,5,1255,Manual,Metcolor,,,
3282.5,17950,22,72215,Diesel,90,1,0,2000,5,1255,Manual,Metcolor,,,
3411.272727,15800,22,75048,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
4556.818182,16950,22,100250,Diesel,90,0,0,2000,5,1255,Manual,NonMetcolor,,,
434.7826087,14950,23,10000,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1217.391304,16950,23,28000,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
1227.26087,15750,23,28227,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1726.26087,18950,23,39704,Petrol,110,1,1,1600,5,1180,Auto,Metcolor,,,
2042.869565,13500,23,46986,Diesel,90,1,0,2000,3,1165,Manual,Metcolor,,,
3092.956522,12950,23,71138,Diesel,69,0,0,1900,3,1105,Manual,NonMetcolor,,,
3171.173913,13750,23,72937,Diesel,90,1,0,2000,3,1165,Manual,Metcolor,,,
3652.173913,19000,23,84000,Diesel,90,0,0,2000,5,1270,Manual,NonMetcolor,,,
904.8333333,17950,24,21716,Petrol,110,1,0,1600,3,1105,Manual,Metcolor,,,
1065.125,16750,24,25563,Petrol,110,0,0,1600,3,1065,Manual,NonMetcolor,,,
1737.958333,13950,24,41711,Diesel,90,1,0,2000,3,1165,Manual,Metcolor,,,
616.56,16650,25,15414,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
680.12,15450,25,17003,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
800.76,18950,25,20019,Petrol,110,1,1,1600,5,1180,Auto,Metcolor,,,
1000,15950,25,25000,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor,,,
1138,15950,25,28450,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
1188.76,15950,25,29719,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1258.44,20950,25,31461,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor,,,
1287.56,19600,25,32189,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor,,,
1966.52,15500,25,49163,Petrol,110,0,1,1600,5,1165,Auto,NonMetcolor,,,
1237.730769,16950,26,32181,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1257.384615,14950,26,32692,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1653.846154,15250,26,43000,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor,,,
1653.846154,15750,26,43000,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor,,,
1846.153846,14950,26,48000,Diesel,90,0,0,2000,3,1165,Manual,NonMetcolor,,,
2153.846154,20500,26,56000,Petrol,110,1,1,1600,5,1180,Auto,Metcolor,,,
729.6296296,21500,27,19700,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor,,,
869.962963,18450,27,23489,Petrol,110,0,0,1600,5,1115,Manual,NonMetcolor,,,
1018.518519,14750,27,27500,Petrol,97,0,0,1400,3,1100,Manual,NonMetcolor,,,
1092.962963,15950,27,29510,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1215.148148,17950,27,32809,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1279.444444,17495,27,34545,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
1376.925926,16500,27,37177,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
1632.148148,16750,27,44068,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
1846.888889,21950,27,49866,Petrol,192,1,0,1800,5,1195,Manual,Metcolor,,,
2939.814815,17950,27,79375,Diesel,90,1,0,2000,5,1255,Manual,Metcolor,,,
3504.148148,16900,27,94612,Diesel,90,1,0,2000,3,1245,Manual,Metcolor,,,
4089.037037,16950,27,110404,Diesel,90,0,0,2000,5,1255,Manual,NonMetcolor,,,
304.8928571,17450,28,8537,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
669.25,22000,28,18739,Petrol,192,0,0,1800,3,1185,Manual,NonMetcolor,,,
1000,19950,28,28000,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor,,,
1029.178571,18950,28,28817,Petrol,110,1,0,1598,5,1130,Manual,Metcolor,,,
1043.071429,15950,28,29206,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1106.892857,18950,28,30993,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1150.714286,16950,28,32220,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
1543.214286,15250,28,43210,Petrol,97,0,0,1400,5,1110,Manual,NonMetcolor,,,
1576.5,16950,28,44142,Petrol,110,0,0,1600,3,1120,Manual,NonMetcolor,,,
2012.464286,15950,28,56349,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
336.2068966,12950,29,9750,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
689.6551724,17250,29,20000,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
778.4482759,16895,29,22575,Petrol,110,1,0,1600,5,1115,Manual,Metcolor,,,
890.1034483,16250,29,25813,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
1428.103448,15750,29,41415,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
1513.965517,16950,29,43905,Petrol,110,0,1,1600,3,1170,Auto,NonMetcolor,,,
233.3333333,14900,30,7000,Petrol,97,1,0,1400,5,1100,Manual,Metcolor,,,
369.6666667,17950,30,11090,Petrol,110,1,0,1600,3,1120,Manual,Metcolor,,,
733.3333333,14900,30,22000,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
1117.033333,17950,30,33511,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1133.333333,22750,30,34000,Petrol,192,1,0,1800,3,1185,Manual,Metcolor,,,
1283.333333,13750,30,38500,Diesel,90,0,0,2000,3,1170,Manual,NonMetcolor,,,
1298.333333,15999,30,38950,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1902.866667,15750,30,57086,Petrol,97,1,0,1400,5,1110,Manual,Metcolor,,,
2145.3,16950,30,64359,Petrol,110,1,0,1600,3,1105,Manual,Metcolor,,,
2255.333333,15950,30,67660,Petrol,110,1,0,1600,3,1105,Manual,Metcolor,,,
2529.633333,18600,30,75889,Diesel,90,1,0,2000,3,1245,Manual,Metcolor,,,
523.8064516,17950,31,16238,Petrol,110,1,1,1600,5,1180,Auto,Metcolor,,,
741.9354839,21500,31,23000,Petrol,192,1,0,1800,3,1185,Manual,Metcolor,,,
815.0322581,18750,31,25266,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
1178.83871,18750,31,36544,Petrol,110,1,0,1600,5,1130,Manual,Metcolor,,,
2096.193548,21950,31,64982,Petrol,192,1,0,1800,5,1195,Manual,Metcolor,,,
791.53125,15750,32,25329,Petrol,97,1,0,1400,3,1100,Manual,Metcolor,,,
912.4375,12995,32,29198,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
1066.59375,22500,32,34131,Petrol,192,1,0,1800,3,1185,Manual,Metcolor,,,
1428.90625,13250,32,45725,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1906.25,12950,32,61000,Diesel,90,0,0,2000,3,1170,Manual,NonMetcolor,,,
500.3636364,13250,33,16512,Petrol,97,1,0,1400,5,1085,Manual,Metcolor,,,
746.969697,14990,33,24650,Petrol,110,1,0,1600,3,1055,Manual,Metcolor,,,
825.4545455,12750,33,27240,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
870.1515152,12950,33,28715,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
939.3939394,12900,33,31000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1017.909091,12950,33,33591,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1297.666667,12295,33,42823,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1482.666667,13500,33,48928,Diesel,69,1,0,1900,3,1105,Manual,Metcolor,,,
1574.090909,13450,33,51945,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1677.272727,11750,33,55350,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor,,,
1735.424242,11690,33,57269,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1748.818182,13500,33,57711,Diesel,90,1,0,2000,3,1165,Manual,Metcolor,,,
1878.787879,12950,33,62000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
2293.909091,13500,33,75699,Diesel,69,0,0,1900,3,1105,Manual,NonMetcolor,,,
2343.060606,10950,33,77321,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
2366.909091,13500,33,78108,Diesel,90,1,0,2000,3,1170,Manual,Metcolor,,,
953.8529412,12400,34,32431,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
1412.088235,13450,34,48011,Petrol,110,1,0,1600,4,1030,Manual,Metcolor,,,
1449.735294,12450,34,49291,Petrol,110,1,0,1600,3,1040,Manual,Metcolor,,,
1921.911765,11690,34,65345,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
2314.029412,11790,34,78677,Petrol,110,1,1,1600,5,1105,Auto,Metcolor,,,
514.2857143,13995,35,18000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
625.8285714,10950,35,21904,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor,,,
686.0285714,11500,35,24011,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor,,,
914.2857143,12500,35,32000,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor,,,
941.1714286,13950,35,32941,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
950.2285714,12950,35,33258,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1171.428571,13995,35,41000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1228.571429,10500,35,43000,Petrol,110,0,0,1600,3,1050,Manual,NonMetcolor,,,
1322.971429,12950,35,46304,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
1372.914286,13500,35,48052,Diesel,69,1,0,1900,3,1105,Manual,Metcolor,,,
1700,13950,35,59500,Diesel,69,1,0,1900,3,1110,Manual,Metcolor,,,
1885.371429,11950,35,65988,Petrol,110,1,0,1600,3,1040,Manual,Metcolor,,,
2034.285714,12450,35,71200,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
2613.028571,10450,35,91456,Diesel,69,1,0,1900,3,1110,Manual,Metcolor,,,
1007.472222,10750,36,36269,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1206.305556,12500,36,43427,Petrol,110,1,0,1600,3,1040,Manual,Metcolor,,,
1762.75,12750,36,63459,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
581.0810811,11450,37,21500,Petrol,110,1,0,1600,5,1030,Manual,Metcolor,,,
974.972973,13950,37,36074,Petrol,110,1,1,1600,5,1075,Auto,Metcolor,,,
1048.972973,11450,37,38812,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor,,,
1074.513514,12750,37,39757,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1209.648649,9950,37,44757,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor,,,
3195.054054,11950,37,118217,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
421.0526316,11750,38,16000,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
601.7105263,12900,38,22865,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
684.2105263,12500,38,26000,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
691.1052632,12450,38,26262,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
740.7894737,13750,38,28150,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
862.6578947,11950,38,32781,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor,,,
982.1052632,10950,38,37320,Petrol,97,1,0,1400,3,1025,Manual,Metcolor,,,
741.3793103,7950,58,43000,CNG,110,1,1,1600,4,1114,Auto,Metcolor,,,
1098.789474,10950,38,41754,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor,,,
1219.131579,14990,38,46327,Petrol,110,1,0,1600,3,1055,Manual,Metcolor,,,
1268.342105,12950,38,48197,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1302.631579,11950,38,49500,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1394.736842,13500,38,53000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1535.868421,12450,38,58363,Petrol,110,1,0,1600,3,1055,Manual,Metcolor,,,
1547.315789,10950,38,58798,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1600.763158,11650,38,60829,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1784.342105,12950,38,67805,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1955.763158,12950,38,74319,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
4753.631579,9500,38,180638,Diesel,90,0,0,2000,4,1160,Manual,NonMetcolor,,,
307.6923077,11500,39,12000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
474.3589744,10250,39,18500,Petrol,110,0,0,1600,4,1030,Manual,NonMetcolor,,,
626.7692308,12950,39,24444,Petrol,110,1,0,1600,3,1040,Manual,Metcolor,,,
633.9230769,12695,39,24723,Petrol,110,1,1,1600,4,1060,Auto,Metcolor,,,
642.6153846,13750,39,25062,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
696.6666667,11895,39,27170,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
887.1538462,12950,39,34599,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
968.7692308,11650,39,37782,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
1013.435897,11500,39,39524,Petrol,97,1,0,1398,3,1025,Manual,Metcolor,,,
1025.641026,13750,39,40000,Petrol,110,1,0,1600,3,1055,Manual,Metcolor,,,
1109.076923,13875,39,43254,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1155.923077,12950,39,45081,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1172.128205,12850,39,45713,Petrol,97,1,0,1400,5,1085,Manual,Metcolor,,,
1197.282051,11495,39,46694,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor,,,
1200.538462,13450,39,46821,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
1255,10950,39,48945,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor,,,
1282.051282,12000,39,50000,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
1304.435897,12495,39,50873,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1375.487179,9940,39,53644,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1427.641026,12900,39,55678,Petrol,110,1,0,1600,4,1030,Manual,Metcolor,,,
1435.923077,13500,39,56001,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
2790.948718,14750,39,108847,Diesel,90,1,0,2000,5,1205,Manual,Metcolor,,,
408.125,12950,40,16325,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
426.275,11950,40,17051,Petrol,97,0,0,1400,5,1060,Manual,NonMetcolor,,,
590.4,13450,40,23616,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
709.05,13450,40,28362,Petrol,110,1,0,1600,3,1040,Manual,Metcolor,,,
813.3,11750,40,32532,Petrol,110,1,0,1600,3,1040,Manual,Metcolor,,,
914.15,11990,40,36566,Petrol,110,0,0,1600,5,1090,Manual,NonMetcolor,,,
966.325,12950,40,38653,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
1033.475,12850,40,41339,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
1120.75,11700,40,44830,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1140,13950,40,45600,Petrol,110,1,1,1600,5,1105,Auto,Metcolor,,,
1147.15,12950,40,45886,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
1223.8,14750,40,48952,Diesel,90,1,0,2000,5,1205,Manual,Metcolor,,,
1266,12750,40,50640,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
1473.85,11950,40,58954,Petrol,110,1,0,1600,5,1080,Manual,Metcolor,,,
1826.05,11950,40,73042,Petrol,110,1,0,1598,5,1075,Manual,Metcolor,,,
1960.625,11450,40,78425,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
2010.625,14750,40,80425,Diesel,90,1,0,2000,5,1205,Manual,Metcolor,,,
2134.725,12500,40,85389,Petrol,110,1,0,1600,5,1075,Manual,Metcolor,,,
2412.95,11250,40,96518,Petrol,97,1,0,1400,3,1025,Manual,Metcolor,,,
3251.55,11750,40,130062,Diesel,69,1,0,1900,5,1140,Manual,Metcolor,,,
4025,11950,40,161000,Diesel,69,1,0,1900,3,1105,Manual,Metcolor,,,
4496.5,11950,40,179860,Diesel,90,1,0,2000,5,1205,Manual,Metcolor,,,
528.0731707,11950,41,21651,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor,,,
555.6097561,10500,41,22780,Petrol,86,1,0,1300,5,1035,Manual,Metcolor,,,
585.3658537,11950,41,24000,Petrol,97,1,0,1400,3,1025,Manual,Metcolor,,,
596.9512195,14350,41,24475,Petrol,110,1,0,1600,5,1030,Manual,Metcolor,,,
696.8536585,14950,41,28571,Petrol,110,0,0,1600,5,1090,Manual,NonMetcolor,,,
708.6829268,11950,41,29056,Petrol,97,1,0,1400,5,1060,Manual,Metcolor,,,
724.7804878,11900,41,29716,Petrol,116,1,0,1600,5,1075,Manual,Metcolor,,,
755.8292683,12200,41,30989,Petrol,110,0,0,1600,3,1045,Manual,NonMetcolor,,,
